,Epoch,Batch,Loss
0,0,0,151.4176025390625
1,0,1,140.7814178466797
2,1,0,132.72271728515625
3,1,1,124.41813659667969
4,2,0,122.51551055908203
5,2,1,107.35035705566406
6,3,0,113.54602813720703
7,3,1,115.22661590576172
8,4,0,109.8281478881836
9,4,1,91.66837310791016
10,5,0,102.17133331298828
11,5,1,92.2569808959961
12,6,0,96.27799224853516
13,6,1,99.48989868164062
14,7,0,91.67141723632812
15,7,1,89.69891357421875
16,8,0,87.88145446777344
17,8,1,83.20797729492188
18,9,0,83.84783935546875
19,9,1,79.41941833496094
20,10,0,79.8400650024414
21,10,1,78.91639709472656
22,11,0,76.24401092529297
23,11,1,73.10015106201172
24,12,0,72.42713165283203
25,12,1,70.17009735107422
26,13,0,68.0916519165039
27,13,1,70.75813293457031
28,14,0,64.49142456054688
29,14,1,62.0318717956543
30,15,0,59.70387268066406
31,15,1,62.36943435668945
32,16,0,55.90857696533203
33,16,1,53.9702262878418
34,17,0,51.9797248840332
35,17,1,53.25645065307617
36,18,0,47.574607849121094
37,18,1,45.93760299682617
38,19,0,43.65158462524414
39,19,1,39.70176696777344
40,20,0,40.869544982910156
41,20,1,32.665069580078125
42,21,0,35.85247802734375
43,21,1,36.07719421386719
44,22,0,33.737003326416016
45,22,1,34.21938705444336
46,23,0,30.43873405456543
47,23,1,37.05086898803711
48,24,0,29.813657760620117
49,24,1,26.636837005615234
50,25,0,26.434894561767578
51,25,1,22.136018753051758
52,26,0,23.637348175048828
53,26,1,27.309572219848633
54,27,0,21.281417846679688
55,27,1,22.52294921875
56,28,0,19.722999572753906
57,28,1,17.227188110351562
58,29,0,18.768945693969727
59,29,1,10.12234115600586
60,30,0,16.6280517578125
61,30,1,17.032615661621094
62,31,0,14.763145446777344
63,31,1,10.206539154052734
64,32,0,14.348958969116211
65,32,1,10.321471214294434
66,33,0,12.85511589050293
67,33,1,13.301149368286133
68,34,0,9.820530891418457
69,34,1,18.452152252197266
70,35,0,11.281280517578125
71,35,1,7.9525604248046875
72,36,0,10.463040351867676
73,36,1,3.97836971282959
74,37,0,9.99525260925293
75,37,1,4.172176361083984
76,38,0,8.265531539916992
77,38,1,10.637802124023438
78,39,0,7.370844841003418
79,39,1,8.412508010864258
80,40,0,6.115606307983398
81,40,1,8.97048282623291
82,41,0,6.584630966186523
83,41,1,3.959080457687378
84,42,0,5.579259395599365
85,42,1,4.234987258911133
86,43,0,4.850664138793945
87,43,1,10.217988014221191
88,44,0,5.499851226806641
