epoch,training_loss,train_accuracy,test_loss,test_accuracy,real_test_loss,real_test_accuracy,real_complete_loss,real_complete_accuracy
0,0.727130675929154,0.4772727272727273,0.16080112126655877,0.7613636363636364,0.16376121060668744,0.75,0.15964166860336834,0.8033707865168539
1,0.1275888554968829,0.8181818181818182,0.09800169708019398,0.8636363636363636,0.09721819536273622,0.8636363636363636,0.08026111573883427,0.9044943820224719
2,0.06320692137821672,0.9431818181818182,0.07426443203505849,0.9204545454545454,0.0749833645144959,0.9204545454545454,0.05590062758731139,0.949438202247191
3,0.036194489382482556,0.9772727272727273,0.06027128999267006,0.9545454545454546,0.06170668887683529,0.9545454545454546,0.04263736968992009,0.9775280898876404
4,0.026058138520139353,1.0,0.05654045840757052,0.9545454545454546,0.05637388290134285,0.9545454545454546,0.035918369168285516,0.9775280898876404
5,0.020927779959906315,1.0,0.05871660974381401,0.9659090909090909,0.05861381190119242,0.9659090909090909,0.0366406759807269,0.9775280898876404
6,0.01827906890089666,1.0,0.05154000500029228,0.9659090909090909,0.04577641069838798,0.9772727272727273,0.031204287736656032,0.9831460674157303
7,0.010408237841674732,1.0,0.039073948032968146,0.9772727272727273,0.050426369825800066,0.9659090909090909,0.029006784937030645,0.9831460674157303
8,0.012173502818871963,1.0,0.057460078483431556,0.9659090909090909,0.055521994710282095,0.9659090909090909,0.032547946057706355,0.9831460674157303
9,0.011720408564749298,1.0,0.0540442514664557,0.9545454545454546,0.05324607644433854,0.9545454545454546,0.02970925022995023,0.9775280898876404
10,0.006501873573060121,1.0,0.0497948248941446,0.9659090909090909,0.04974103416779227,0.9659090909090909,0.026602715900137075,0.9831460674157303
11,0.005073324967683716,1.0,0.052783600927134765,0.9659090909090909,0.05278180030307505,0.9659090909090909,0.027583032089965813,0.9831460674157303
12,0.003889028871071787,1.0,0.05236626773363572,0.9545454545454546,0.05249798516648629,0.9545454545454546,0.027904183683163823,0.9775280898876404
13,0.005039484854974448,1.0,0.05069179672235888,0.9659090909090909,0.050686227246346374,0.9659090909090909,0.02669724962155608,0.9831460674157303
14,0.003960929107858068,1.0,0.05181675902266844,0.9431818181818182,0.050413286438594114,0.9431818181818182,0.02693413116716063,0.9719101123595506
15,0.002916710673575422,1.0,0.04983332825444946,0.9659090909090909,0.04967539739085292,0.9659090909090909,0.025512778479556863,0.9831460674157303
16,0.0019302608480674362,1.0,0.055658518644949334,0.9431818181818182,0.05531561747854787,0.9431818181818182,0.03082314789068906,0.9719101123595506
17,0.0037109153521157623,1.0,0.05231879990618505,0.9659090909090909,0.05207745735910149,0.9659090909090909,0.027437891631601753,0.9831460674157303
18,0.0041104945788571386,1.0,0.047475454264878696,0.9659090909090909,0.0475141389694975,0.9659090909090909,0.025101433295869068,0.9831460674157303
19,0.0032784262472721985,1.0,0.05071584842054025,0.9659090909090909,0.050609391469730654,0.9659090909090909,0.025617978831352056,0.9831460674157303
20,0.0016027373679373175,1.0,0.050006430834731545,0.9659090909090909,0.05001169946329107,0.9659090909090909,0.025578227441451672,0.9831460674157303
21,0.0011929263526905163,1.0,0.04588957893115135,0.9659090909090909,0.04588957915265465,0.9659090909090909,0.02334677065820788,0.9831460674157303
22,0.0009864766226996835,1.0,0.04560336904501128,0.9659090909090909,0.045799284882047105,0.9659090909090909,0.022967708525423434,0.9831460674157303
23,0.0008681343432189434,1.0,0.046220608725641134,0.9659090909090909,0.047224668807426824,0.9659090909090909,0.02386165438884347,0.9831460674157303
24,0.000979588788544044,1.0,0.04588620148570044,0.9659090909090909,0.03402748634471209,0.9772727272727273,0.022841464573630628,0.9831460674157303
25,0.00046758737508089223,1.0,0.04684657388109124,0.9545454545454546,0.04706621531129878,0.9545454545454546,0.023871919247483858,0.9775280898876404
26,0.0007810213750826346,1.0,0.045052708684703575,0.9545454545454546,0.046825382857853336,0.9545454545454546,0.023954698728758057,0.9775280898876404
27,0.0015802124428319075,1.0,0.04918065450527303,0.9659090909090909,0.049115440845608566,0.9659090909090909,0.024818168849917763,0.9831460674157303
28,0.0010660700724077867,1.0,0.04473203672643484,0.9659090909090909,0.04197183003452665,0.9659090909090909,0.022477116187944242,0.9831460674157303
29,0.0006687387488155268,1.0,0.04649657133863498,0.9659090909090909,0.048395529595836706,0.9659090909090909,0.024175845278156038,0.9831460674157303
30,0.0009668168651160158,1.0,0.04359001242509273,0.9545454545454546,0.04371440823374231,0.9545454545454546,0.02217084011351872,0.9775280898876404
31,0.0017413022956650987,1.0,0.05266500637464395,0.9545454545454546,0.05319596110001095,0.9545454545454546,0.02769169959717831,0.9775280898876404
32,0.002095698029403469,1.0,0.04355796110758092,0.9772727272727273,0.043633216630537805,0.9772727272727273,0.022395442554318763,0.9887640449438202
33,0.0040311834760948595,1.0,0.04790957107483833,0.9431818181818182,0.050545586258522235,0.9431818181818182,0.0278674244744436,0.9719101123595506
34,0.0033181787027532746,1.0,0.04530874899203561,0.9545454545454546,0.04557826608916829,0.9545454545454546,0.023889066618241403,0.9775280898876404
35,0.00272167428517698,1.0,0.047227217350031096,0.9659090909090909,0.0475223220944992,0.9659090909090909,0.024459859513943517,0.9831460674157303
36,0.0016482409763331032,1.0,0.04633415041561503,0.9659090909090909,0.046565360872591555,0.9659090909090909,0.02400046478932167,0.9831460674157303
37,0.002684628470040645,1.0,0.04605710156903859,0.9659090909090909,0.04620100765292922,0.9659090909090909,0.024534818894623507,0.9831460674157303
38,0.004203644243675212,1.0,0.040959622119110216,0.9772727272727273,0.0433217030381043,0.9772727272727273,0.022117139569749516,0.9887640449438202
39,0.0016970590898133444,1.0,0.04560336058048878,0.9318181818181818,0.04298700564822866,0.9431818181818182,0.02417298675875449,0.9662921348314607
40,0.008077428727677794,1.0,0.04730175092440318,0.9772727272727273,0.041958511672088535,0.9886363636363636,0.02499932558190737,0.9887640449438202
41,0.004163609271730903,1.0,0.04925535728160536,0.9545454545454546,0.04916759207877807,0.9545454545454546,0.02577033595703091,0.9775280898876404
42,0.00468745709349605,1.0,0.04395492744052634,0.9545454545454546,0.04602020708096626,0.9545454545454546,0.02451622921110489,0.9775280898876404
43,0.0028542083386417453,1.0,0.04689563999471085,0.9659090909090909,0.04497547750262046,0.9659090909090909,0.02512441963614712,0.9831460674157303
44,0.0020556093685813307,1.0,0.04661714912551609,0.9545454545454546,0.04625302622910319,0.9545454545454546,0.024377436564025384,0.9775280898876404
45,0.0034086538555377706,1.0,0.041865004581764384,0.9772727272727273,0.04234497352068833,0.9772727272727273,0.02173488123111092,0.9887640449438202
46,0.0010775775410820643,1.0,0.04524633276098975,0.9772727272727273,0.045170056270173765,0.9772727272727273,0.023366734317676857,0.9887640449438202
47,0.0016198491471289924,1.0,0.04245373499526812,0.9772727272727273,0.044041469639110306,0.9772727272727273,0.02286319097635406,0.9887640449438202
48,0.0007994545015399333,1.0,0.04696039298373349,0.9545454545454546,0.046022094887575804,0.9545454545454546,0.023500422900310645,0.9775280898876404
49,0.0007368780961433623,1.0,0.04265812892473067,0.9659090909090909,0.04291425698742883,0.9659090909090909,0.021353208932301703,0.9831460674157303
