epoch,training_loss,train_accuracy,test_loss,test_accuracy,real_test_loss,real_test_accuracy,real_complete_loss,real_complete_accuracy
0,0.14751934323820687,0.888121546961326,0.024538503079477983,0.9935483870967742,0.07834694989379758,0.9014084507042254,0.06845239404748518,0.9157303370786517
1,0.02804463887152642,0.9779005524861878,0.018812540077722647,0.9870967741935484,0.1057812808268838,0.8661971830985915,0.0910019319523466,0.8820224719101124
2,0.019806217812406907,0.9861878453038674,0.019403076763821095,0.9903225806451613,0.07149341122270234,0.9084507042253521,0.0615677998432781,0.9269662921348315
3,0.013023829749820115,0.9958563535911602,0.027345717822977497,0.9870967741935484,0.1185396149651841,0.8873239436619719,0.1019311406081634,0.898876404494382
4,0.011701276315480397,0.9958563535911602,0.012876292705303997,0.9935483870967742,0.09792806151704035,0.9154929577464789,0.08063433001354708,0.9325842696629213
5,0.007357358570242687,0.9972375690607734,0.011663146179747738,0.9870967741935484,0.12332076049670178,0.9084507042253521,0.10879616768951554,0.9101123595505618
6,0.005423248895735999,0.9986187845303868,0.013523244396125641,0.9838709677419355,0.10893629189612652,0.9154929577464789,0.09125619280117524,0.9213483146067416
7,0.0033315586747285526,1.0,0.00860815321775003,0.9935483870967742,0.08810189045415504,0.9084507042253521,0.0720800981898566,0.9269662921348315
8,0.004725876824678626,0.9986187845303868,0.011602747770519917,0.9903225806451613,0.10895878127925705,0.9225352112676056,0.09038608727141259,0.9325842696629213
9,0.003287998349308507,0.9986187845303868,0.013280320778909711,0.9903225806451613,0.1165108533066199,0.8943661971830986,0.09737300793135086,0.9101123595505618
10,0.0022495105340215797,1.0,0.010930908194748026,0.9903225806451613,0.10822548117234682,0.9014084507042254,0.08876500902628771,0.9213483146067416
11,0.0015634906925652355,1.0,0.010765363110840554,0.9903225806451613,0.09878852364031637,0.9225352112676056,0.08032390637150416,0.9382022471910112
12,0.0017077747593059773,1.0,0.0092814623414006,0.9903225806451613,0.12346354649200524,0.9014084507042254,0.10228766568759332,0.9157303370786517
13,0.0038029593976979747,0.9986187845303868,0.007249482881501712,0.9935483870967742,0.10246996487089938,0.9225352112676056,0.08854571470800784,0.9325842696629213
14,0.0017050104513267777,1.0,0.009991512710369153,0.9903225806451613,0.08370076414307027,0.9436619718309859,0.06709204298013911,0.9550561797752809
15,0.0014068451846362764,1.0,0.012808211648641718,0.9838709677419355,0.0921517669737408,0.9295774647887324,0.07584489132991774,0.9382022471910112
16,0.001991346055279051,1.0,0.010089046662561017,0.9935483870967742,0.12277269522892824,0.8873239436619719,0.10030283873601639,0.9101123595505618
17,0.0013601318373548904,1.0,0.006245468105061586,0.9935483870967742,0.10288195890700695,0.9084507042253521,0.08965220416715904,0.9213483146067416
18,0.0006340970596223726,1.0,0.008353135363049366,0.9935483870967742,0.10622743545803094,0.9225352112676056,0.08590844217787583,0.9382022471910112
19,0.0009793816511649664,1.0,0.0059378709942041405,0.9935483870967742,0.10421460892059617,0.9225352112676056,0.08392802146789599,0.9382022471910112
20,0.0005469337666883045,1.0,0.006023824078990049,0.9935483870967742,0.10156239225423787,0.9225352112676056,0.08246324728478806,0.9382022471910112
21,0.0006410108151003778,1.0,0.005952572139248728,0.9935483870967742,0.103151468392522,0.9084507042253521,0.08295419514416516,0.9269662921348315
22,0.0007561745842033725,1.0,0.006810991863299463,0.9935483870967742,0.10729908521361933,0.9084507042253521,0.08922677560798128,0.9213483146067416
23,0.0013318802823769197,1.0,0.0035358859389229874,1.0,0.12470977552133468,0.8943661971830986,0.10182762399563217,0.9157303370786517
24,0.0025285133023799414,0.9986187845303868,0.006829490135821963,0.9935483870967742,0.09693208503626344,0.9154929577464789,0.07839927618135151,0.9325842696629213
25,0.00140534444942328,1.0,0.004712459741854365,0.9967741935483871,0.09886848367666261,0.9154929577464789,0.08000474371472213,0.9325842696629213
26,0.00031583494983828916,1.0,0.005174026378787652,0.9935483870967742,0.0966036714008675,0.9154929577464789,0.07794065527664597,0.9325842696629213
27,0.00031576438645560277,1.0,0.0053220631289638085,0.9935483870967742,0.0987092865490072,0.9084507042253521,0.07980737120501698,0.9269662921348315
28,0.00039347752144542117,1.0,0.006676420494199514,0.9903225806451613,0.09453392107868343,0.9154929577464789,0.0760274173152137,0.9325842696629213
29,0.00024021672578360508,1.0,0.006730561884761886,0.9935483870967742,0.09671795849372239,0.9084507042253521,0.07790588478375733,0.9269662921348315
30,0.0003915549730141501,1.0,0.007127112277330085,0.9903225806451613,0.09559096736207946,0.9154929577464789,0.0769656869575035,0.9325842696629213
31,0.0004216514612293017,1.0,0.00818474284160292,0.9935483870967742,0.10461229449437345,0.9225352112676056,0.08943904854434835,0.9325842696629213
32,0.0004962847080589239,1.0,0.003307501750522636,1.0,0.08966685555760129,0.9295774647887324,0.07226165917814908,0.9438202247191011
33,0.00045060022210041375,1.0,0.005102187277940072,0.9935483870967742,0.08606683033834718,0.9154929577464789,0.06906735395045456,0.9325842696629213
34,0.0004216356440564092,1.0,0.005553326058021236,0.9967741935483871,0.09207335675711913,0.9225352112676056,0.07421243377688003,0.9382022471910112
35,0.0003113977764858903,1.0,0.006607084185484822,0.9903225806451613,0.09296700037534528,0.9154929577464789,0.07494906378088528,0.9325842696629213
36,0.00020383368364654923,1.0,0.006057067492918489,0.9903225806451613,0.0912115523013673,0.9154929577464789,0.07322780538605288,0.9325842696629213
37,0.00012963308713518498,1.0,0.0072406745556338956,0.9870967741935484,0.08425043287192059,0.9225352112676056,0.06749184956300197,0.9382022471910112
38,9.885807909285106e-05,1.0,0.00697084987971596,0.9903225806451613,0.09094742773232661,0.9084507042253521,0.07302696664331389,0.9269662921348315
39,0.00019978164406349547,1.0,0.007604148698030786,0.9870967741935484,0.08691183809587784,0.9084507042253521,0.0696669906476447,0.9269662921348315
