Epoch,Batch,Loss
0,0,131.27011108398438
1,0,119.19989776611328
2,0,103.22303009033203
3,0,97.63214874267578
4,0,89.56884765625
5,0,85.53660583496094
6,0,82.4391098022461
7,0,78.13725280761719
8,0,77.01697540283203
9,0,75.05460357666016
10,0,71.7043685913086
11,0,66.98155212402344
12,0,63.764122009277344
13,0,63.693546295166016
14,0,59.299015045166016
15,0,55.69361877441406
16,0,54.34764862060547
17,0,51.91383743286133
18,0,48.76631164550781
19,0,46.22029113769531
20,0,42.04823684692383
21,0,41.119361877441406
22,0,36.57762908935547
23,0,35.84331130981445
24,0,33.11954116821289
25,0,29.276870727539062
26,0,26.232057571411133
27,0,24.186721801757812
28,0,22.294336318969727
29,0,21.110767364501953
30,0,18.64185333251953
31,0,16.250524520874023
32,0,13.527997016906738
33,0,12.15882682800293
34,0,10.801247596740723
35,0,10.613758087158203
36,0,9.254475593566895
37,0,7.954744338989258
38,0,8.878881454467773
39,0,7.2165751457214355
40,0,6.372567176818848
41,0,6.586008548736572
42,0,3.403364658355713
43,0,4.05374813079834
44,0,2.8896312713623047
45,0,1.3214435577392578
46,0,0.0898435115814209
47,0,0.2837865352630615
48,0,0.5165631771087646
49,0,-1.7986953258514404
50,0,-1.4508590698242188
51,0,-3.336418628692627
52,0,-3.5267677307128906
53,0,-3.1574435234069824
54,0,-4.881062984466553
55,0,-5.50895357131958
56,0,-4.83106803894043
57,0,-6.215544700622559
58,0,-7.410364627838135
59,0,-8.253068923950195
60,0,-8.684595108032227
61,0,-8.910013198852539
62,0,-9.518218994140625
63,0,-10.088504791259766
64,0,-10.474605560302734
65,0,-10.523699760437012
66,0,-10.05684757232666
67,0,-11.455504417419434
68,0,-10.963038444519043
69,0,-13.660316467285156
70,0,-11.969597816467285
71,0,-12.704629898071289
72,0,-13.042143821716309
73,0,-14.745443344116211
74,0,-15.10879135131836
75,0,-14.502023696899414
76,0,-17.09467315673828
77,0,-16.716739654541016
78,0,-16.5561580657959
79,0,-17.387632369995117
80,0,-17.180858612060547
81,0,-18.232173919677734
82,0,-19.21607208251953
83,0,-19.561697006225586
84,0,-20.4132137298584
85,0,-20.94656753540039
86,0,-22.030771255493164
87,0,-21.07781219482422
88,0,-22.1251220703125
89,0,-21.132640838623047
90,0,-23.670124053955078
91,0,-23.575721740722656
92,0,-24.06069564819336
93,0,-24.107219696044922
94,0,-22.65794563293457
95,0,-23.403095245361328
96,0,-24.178348541259766
97,0,-24.85768699645996
98,0,-25.59654426574707
99,0,-24.081920623779297
100,0,-25.652774810791016
101,0,-25.428314208984375
102,0,-25.257539749145508
103,0,-25.139324188232422
104,0,-25.701763153076172
105,0,-26.45125961303711
106,0,-24.672855377197266
107,0,-26.35947036743164
108,0,-26.936649322509766
109,0,-25.348140716552734
110,0,-26.25714874267578
111,0,-27.086990356445312
112,0,-27.400548934936523
113,0,-27.42266082763672
114,0,-26.268587112426758
115,0,-26.14681053161621
116,0,-26.634340286254883
117,0,-27.408729553222656
118,0,-26.921859741210938
119,0,-27.987136840820312
120,0,-28.997207641601562
121,0,-28.66062355041504
122,0,-29.536161422729492
123,0,-28.70492935180664
124,0,-29.059616088867188
125,0,-29.335731506347656
126,0,-28.712947845458984
127,0,-29.621809005737305
128,0,-29.016130447387695
129,0,-29.428884506225586
130,0,-29.73073387145996
131,0,-30.367633819580078
132,0,-29.320077896118164
133,0,-30.113250732421875
134,0,-29.566997528076172
135,0,-30.383914947509766
136,0,-29.93026351928711
137,0,-29.088348388671875
138,0,-30.59882354736328
139,0,-30.25810432434082
140,0,-30.3828182220459
141,0,-30.697938919067383
142,0,-30.577129364013672
143,0,-31.564132690429688
144,0,-31.646574020385742
145,0,-31.580854415893555
146,0,-32.21185302734375
147,0,-31.774654388427734
148,0,-31.994094848632812
149,0,-32.168609619140625
150,0,-33.12006378173828
151,0,-32.30621337890625
152,0,-33.38618469238281
153,0,-33.54921340942383
154,0,-33.26266860961914
155,0,-31.702089309692383
156,0,-33.96737289428711
157,0,-34.39985656738281
158,0,-31.350170135498047
159,0,-33.47768783569336
160,0,-33.604610443115234
161,0,-33.5507698059082
162,0,-33.45124053955078
163,0,-33.372074127197266
164,0,-33.82530212402344
165,0,-34.66755294799805
166,0,-34.25956726074219
167,0,-33.823753356933594
168,0,-34.73240280151367
169,0,-33.965179443359375
170,0,-34.590545654296875
171,0,-34.65143585205078
172,0,-33.65007019042969
173,0,-35.031856536865234
174,0,-34.332618713378906
175,0,-36.1849365234375
176,0,-35.555511474609375
177,0,-34.75236511230469
178,0,-34.182891845703125
179,0,-35.92935562133789
180,0,-35.03473663330078
181,0,-34.485809326171875
182,0,-35.30301284790039
183,0,-36.647281646728516
184,0,-35.42064666748047
185,0,-34.866966247558594
