Epoch,Batch,Loss
0,0,55.17683792114258
1,0,46.54132080078125
2,0,42.50552749633789
3,0,38.29389572143555
4,0,39.30668258666992
5,0,36.077144622802734
6,0,35.91276168823242
7,0,33.64960861206055
8,0,32.896453857421875
9,0,31.38470458984375
10,0,29.356647491455078
11,0,28.870149612426758
12,0,27.75815773010254
13,0,25.16826820373535
14,0,25.826202392578125
15,0,24.369138717651367
16,0,23.169858932495117
17,0,22.71645736694336
18,0,22.50782585144043
19,0,21.674171447753906
20,0,19.703584671020508
21,0,18.954511642456055
22,0,19.094621658325195
23,0,18.481924057006836
24,0,18.15027618408203
25,0,16.645915985107422
26,0,16.150196075439453
27,0,15.522944450378418
28,0,14.77518367767334
29,0,14.54520320892334
30,0,13.636768341064453
31,0,13.158601760864258
32,0,12.399621963500977
33,0,12.637384414672852
34,0,11.553608894348145
35,0,11.124134063720703
36,0,10.152141571044922
37,0,9.974788665771484
38,0,9.259241104125977
39,0,9.353352546691895
40,0,8.22980785369873
41,0,7.862773895263672
42,0,7.46254301071167
43,0,7.13992166519165
44,0,6.68067741394043
45,0,6.4473490715026855
46,0,5.906609535217285
47,0,5.113839149475098
48,0,5.349148750305176
49,0,4.269514560699463
50,0,4.288908958435059
51,0,4.027785301208496
52,0,4.154918670654297
53,0,3.2857666015625
54,0,3.771838665008545
55,0,3.0028843879699707
56,0,2.721369504928589
57,0,2.3632264137268066
58,0,1.6565301418304443
59,0,2.080895185470581
60,0,2.0307862758636475
61,0,1.2516744136810303
62,0,1.411104440689087
63,0,0.8832194805145264
64,0,0.8892426490783691
65,0,0.5689265727996826
66,0,-0.43956470489501953
67,0,0.1882762908935547
68,0,0.03961515426635742
69,0,-0.3298299312591553
70,0,-0.5374457836151123
71,0,-0.25607848167419434
72,0,-1.1165859699249268
73,0,-0.8525576591491699
74,0,-1.1034677028656006
75,0,-1.1566786766052246
76,0,-1.915161371231079
77,0,-1.952124834060669
78,0,-1.9227418899536133
79,0,-2.329219341278076
80,0,-1.9538664817810059
81,0,-2.6553378105163574
82,0,-2.320094585418701
83,0,-3.093622922897339
84,0,-2.875758171081543
85,0,-2.673663854598999
86,0,-3.1081807613372803
87,0,-2.9564197063446045
88,0,-3.1666135787963867
89,0,-3.2593626976013184
90,0,-3.625927448272705
91,0,-4.176578521728516
92,0,-3.9608840942382812
93,0,-4.389376640319824
94,0,-3.9218204021453857
95,0,-3.9639644622802734
96,0,-4.692458152770996
97,0,-4.796022415161133
98,0,-4.170114517211914
99,0,-4.791075229644775
100,0,-5.081977367401123
101,0,-5.021912097930908
102,0,-5.0369873046875
103,0,-5.114258766174316
104,0,-5.96247673034668
105,0,-5.246495246887207
106,0,-6.033599853515625
107,0,-5.9474992752075195
108,0,-5.719827651977539
109,0,-6.0249128341674805
110,0,-6.048497200012207
111,0,-6.297092437744141
112,0,-6.412315368652344
113,0,-6.666382789611816
114,0,-5.928957939147949
115,0,-6.9352707862854
116,0,-6.521210193634033
117,0,-7.234169006347656
118,0,-6.873410701751709
119,0,-6.997053623199463
120,0,-7.3973236083984375
121,0,-6.983245849609375
122,0,-7.203950881958008
123,0,-7.504884719848633
124,0,-7.020878314971924
125,0,-7.442538261413574
126,0,-8.077934265136719
127,0,-7.422488212585449
128,0,-7.883756160736084
129,0,-7.077035903930664
130,0,-8.184515953063965
131,0,-7.831760883331299
132,0,-7.520406723022461
133,0,-7.944413185119629
134,0,-8.49463939666748
135,0,-8.58399772644043
136,0,-8.30233097076416
137,0,-8.330668449401855
138,0,-8.494429588317871
139,0,-7.845150470733643
140,0,-8.538311004638672
141,0,-8.047585487365723
142,0,-8.122140884399414
143,0,-8.137632369995117
144,0,-8.32286262512207
145,0,-8.307170867919922
146,0,-8.70669174194336
147,0,-8.452093124389648
148,0,-8.775466918945312
149,0,-8.698650360107422
150,0,-8.242578506469727
151,0,-8.556528091430664
152,0,-8.426355361938477
153,0,-8.74342155456543
154,0,-8.827882766723633
155,0,-9.18014144897461
156,0,-8.924605369567871
157,0,-8.858213424682617
158,0,-9.528825759887695
