percentage_top_1,percentage_bottom_1,percentage_top_2,percentage_bottom_2
22.55,77.45,33.166666666666664,66.83333333333334
19.933333333333334,80.06666666666666,29.166666666666668,70.83333333333333
21.416666666666668,78.58333333333333,31.466666666666665,68.53333333333333
22.483333333333334,77.51666666666667,27.200000000000003,72.8
21.433333333333334,78.56666666666666,27.416666666666668,72.58333333333333
24.566666666666666,75.43333333333334,29.96666666666667,70.03333333333333
21.85,78.15,27.583333333333332,72.41666666666667
22.866666666666667,77.13333333333333,27.18333333333333,72.81666666666666
20.65,79.35,27.18333333333333,72.81666666666666
20.366666666666667,79.63333333333333,29.849999999999998,70.15
19.1,80.9,29.333333333333332,70.66666666666667
20.583333333333336,79.41666666666666,27.150000000000002,72.85
17.849999999999998,82.15,28.616666666666667,71.38333333333333
18.916666666666668,81.08333333333333,26.266666666666666,73.73333333333333
22.466666666666665,77.53333333333333,29.083333333333332,70.91666666666667
23.7,76.3,29.21666666666667,70.78333333333333
21.85,78.15,28.483333333333334,71.51666666666667
22.883333333333333,77.11666666666667,26.583333333333332,73.41666666666667
22.400000000000002,77.6,22.01666666666667,77.98333333333333
21.033333333333335,78.96666666666667,24.96666666666667,75.03333333333333
21.266666666666666,78.73333333333333,35.16666666666667,64.83333333333333
20.716666666666665,79.28333333333333,26.98333333333333,73.01666666666667
18.833333333333332,81.16666666666667,23.533333333333335,76.46666666666667
21.616666666666667,78.38333333333333,27.28333333333333,72.71666666666667
24.066666666666666,75.93333333333334,25.716666666666665,74.28333333333333
23.333333333333332,76.66666666666667,29.96666666666667,70.03333333333333
20.45,79.55,22.483333333333334,77.51666666666667
22.133333333333333,77.86666666666667,32.916666666666664,67.08333333333334
23.283333333333335,76.71666666666667,26.916666666666668,73.08333333333333
18.9,81.1,24.349999999999998,75.65
22.666666666666664,77.33333333333334,30.95,69.05
21.633333333333333,78.36666666666667,28.983333333333334,71.01666666666667
17.9,82.1,31.3,68.7
21.066666666666666,78.93333333333334,27.266666666666666,72.73333333333333
22.866666666666667,77.13333333333333,29.31666666666667,70.68333333333334
23.65,76.35,29.283333333333335,70.71666666666667
23.883333333333333,76.11666666666667,29.26666666666667,70.73333333333333
24.033333333333335,75.96666666666667,31.016666666666666,68.98333333333333
17.8,82.2,30.133333333333333,69.86666666666667
20.233333333333334,79.76666666666667,23.983333333333334,76.01666666666667
22.45,77.55,30.75,69.25
23.849999999999998,76.15,27.450000000000003,72.55
21.53333333333333,78.46666666666667,29.71666666666667,70.28333333333333
27.43333333333333,72.56666666666666,29.633333333333333,70.36666666666667
22.15,77.85,28.199999999999996,71.80000000000001
23.683333333333334,76.31666666666666,26.766666666666666,73.23333333333333
18.566666666666666,81.43333333333334,29.916666666666668,70.08333333333333
16.466666666666665,83.53333333333333,28.616666666666667,71.38333333333333
19.133333333333333,80.86666666666667,21.25,78.75
16.916666666666664,83.08333333333334,30.716666666666665,69.28333333333333
24.233333333333334,75.76666666666667,29.86666666666667,70.13333333333333
22.28333333333333,77.71666666666667,30.433333333333334,69.56666666666666
23.616666666666667,76.38333333333333,32.31666666666666,67.68333333333334
23.366666666666667,76.63333333333333,30.099999999999998,69.9
20.133333333333333,79.86666666666667,32.71666666666667,67.28333333333333
19.05,80.95,26.083333333333332,73.91666666666667
17.583333333333336,82.41666666666666,24.46666666666667,75.53333333333333
23.35,76.65,28.199999999999996,71.80000000000001
20.566666666666666,79.43333333333334,28.316666666666666,71.68333333333334
28.65,71.35,28.199999999999996,71.80000000000001
20.933333333333334,79.06666666666666,28.333333333333332,71.66666666666667
24.45,75.55,30.266666666666666,69.73333333333333
22.0,78.0,32.33333333333333,67.66666666666667
23.566666666666666,76.43333333333334,28.883333333333333,71.11666666666667
16.55,83.45,29.416666666666668,70.58333333333333
19.6,80.4,29.03333333333333,70.96666666666667
22.7,77.3,30.9,69.1
22.5,77.5,26.75,73.25
24.0,76.0,29.25,70.75
22.650000000000002,77.35,32.416666666666664,67.58333333333334
23.35,76.65,28.28333333333333,71.71666666666667
23.333333333333332,76.66666666666667,29.86666666666667,70.13333333333333
16.366666666666667,83.63333333333333,29.45,70.55
19.05,80.95,29.383333333333333,70.61666666666667
16.316666666666666,83.68333333333334,29.549999999999997,70.45
22.28333333333333,77.71666666666667,30.683333333333334,69.31666666666666
23.783333333333335,76.21666666666667,29.433333333333334,70.56666666666666
23.816666666666666,76.18333333333334,27.750000000000004,72.25
16.28333333333333,83.71666666666667,30.2,69.8
