percentage_top_1,percentage_bottom_1,percentage_top_2,percentage_bottom_2
100.0,0.0,33.1,66.9
96.96666666666667,3.0333333333333314,44.75,55.25
69.39999999999999,30.60000000000001,53.43333333333333,46.56666666666667
71.98333333333333,28.016666666666666,47.81666666666667,52.18333333333333
100.0,0.0,69.26666666666667,30.733333333333334
100.0,0.0,42.75,57.25
22.316666666666666,77.68333333333334,45.516666666666666,54.483333333333334
91.98333333333333,8.016666666666666,58.3,41.7
0.8166666666666665,99.18333333333334,52.1,47.9
36.9,63.1,51.46666666666667,48.53333333333333
42.199999999999996,57.800000000000004,53.53333333333333,46.46666666666667
48.21666666666667,51.78333333333333,62.416666666666664,37.583333333333336
100.0,0.0,100.0,0.0
4.416666666666667,95.58333333333333,45.46666666666667,54.53333333333333
30.816666666666663,69.18333333333334,63.55,36.45
29.533333333333335,70.46666666666667,33.6,66.4
89.2,10.799999999999997,49.25,50.75
100.0,0.0,46.45,53.55
70.08333333333333,29.91666666666667,47.733333333333334,52.266666666666666
74.58333333333333,25.41666666666667,43.81666666666666,56.18333333333334
96.15,3.8499999999999943,47.28333333333333,52.71666666666667
66.08333333333334,33.91666666666666,51.38333333333334,48.61666666666666
63.916666666666664,36.083333333333336,47.583333333333336,52.416666666666664
88.73333333333333,11.266666666666666,53.2,46.8
33.25,66.75,45.050000000000004,54.949999999999996
0.0,100.0,73.66666666666667,26.33333333333333
47.3,52.7,54.400000000000006,45.599999999999994
1.3333333333333335,98.66666666666667,24.266666666666666,75.73333333333333
10.95,89.05,37.63333333333333,62.36666666666667
0.0,100.0,43.88333333333333,56.11666666666667
4.1000000000000005,95.9,60.650000000000006,39.349999999999994
44.266666666666666,55.733333333333334,52.31666666666667,47.68333333333333
0.0,100.0,52.349999999999994,47.650000000000006
60.333333333333336,39.666666666666664,49.733333333333334,50.266666666666666
69.98333333333333,30.016666666666666,50.21666666666667,49.78333333333333
48.3,51.7,72.58333333333333,27.41666666666667
31.016666666666666,68.98333333333333,60.516666666666666,39.483333333333334
51.849999999999994,48.150000000000006,52.26666666666666,47.73333333333334
35.05,64.95,37.45,62.55
100.0,0.0,74.25,25.75
0.0,100.0,37.733333333333334,62.266666666666666
30.733333333333334,69.26666666666667,55.93333333333334,44.06666666666666
61.31666666666666,38.68333333333334,51.4,48.6
0.0,100.0,100.0,0.0
86.03333333333333,13.966666666666669,50.76666666666667,49.23333333333333
64.83333333333333,35.16666666666667,55.65,44.35
27.766666666666666,72.23333333333333,54.75,45.25
22.233333333333334,77.76666666666667,48.86666666666667,51.13333333333333
65.58333333333334,34.41666666666666,55.766666666666666,44.233333333333334
11.05,88.95,44.7,55.3
100.0,0.0,22.116666666666667,77.88333333333333
0.0,100.0,60.699999999999996,39.300000000000004
96.31666666666666,3.683333333333337,53.11666666666667,46.88333333333333
49.25,50.75,57.99999999999999,42.00000000000001
73.36666666666667,26.633333333333326,53.349999999999994,46.650000000000006
100.0,0.0,53.03333333333333,46.96666666666667
45.416666666666664,54.583333333333336,52.61666666666667,47.38333333333333
99.98333333333333,0.01666666666666572,31.533333333333335,68.46666666666667
53.016666666666666,46.983333333333334,44.06666666666666,55.93333333333334
59.31666666666666,40.68333333333334,54.96666666666666,45.03333333333334
47.8,52.2,49.13333333333333,50.86666666666667
100.0,0.0,60.766666666666666,39.233333333333334
90.38333333333334,9.61666666666666,59.03333333333334,40.96666666666666
55.51666666666667,44.48333333333333,54.75,45.25
100.0,0.0,54.28333333333333,45.71666666666667
23.65,76.35,59.53333333333334,40.46666666666666
0.0,100.0,43.5,56.5
100.0,0.0,37.65,62.35
100.0,0.0,56.71666666666667,43.28333333333333
0.0,100.0,37.15,62.85
99.5,0.5,55.300000000000004,44.699999999999996
68.60000000000001,31.39999999999999,63.083333333333336,36.916666666666664
35.36666666666667,64.63333333333333,48.266666666666666,51.733333333333334
100.0,0.0,51.949999999999996,48.050000000000004
85.9,14.099999999999994,53.71666666666667,46.28333333333333
27.71666666666667,72.28333333333333,56.71666666666667,43.28333333333333
51.233333333333334,48.766666666666666,48.949999999999996,51.050000000000004
91.23333333333333,8.766666666666666,59.699999999999996,40.300000000000004
24.316666666666666,75.68333333333334,46.81666666666667,53.18333333333333
28.21666666666667,71.78333333333333,57.41666666666667,42.58333333333333
100.0,0.0,39.81666666666667,60.18333333333333
0.8833333333333334,99.11666666666666,66.35,33.650000000000006
66.5,33.5,22.883333333333333,77.11666666666667
33.0,67.0,37.333333333333336,62.666666666666664
80.88333333333333,19.116666666666674,41.31666666666667,58.68333333333333
26.116666666666667,73.88333333333333,45.016666666666666,54.983333333333334
3.8,96.2,43.916666666666664,56.083333333333336
56.599999999999994,43.400000000000006,51.78333333333334,48.21666666666666
41.96666666666667,58.03333333333333,49.516666666666666,50.483333333333334
99.11666666666666,0.88333333333334,67.93333333333334,32.06666666666666
67.85,32.150000000000006,55.56666666666666,44.43333333333334
45.43333333333333,54.56666666666667,58.18333333333333,41.81666666666667
16.8,83.2,51.53333333333333,48.46666666666667
48.66666666666667,51.33333333333333,40.849999999999994,59.150000000000006
48.583333333333336,51.416666666666664,43.63333333333333,56.36666666666667
46.03333333333333,53.96666666666667,53.06666666666666,46.93333333333334
26.666666666666668,73.33333333333333,56.25,43.75
0.0,100.0,45.53333333333333,54.46666666666667
61.33333333333333,38.66666666666667,48.68333333333334,51.31666666666666
86.68333333333334,13.316666666666663,65.81666666666666,34.18333333333334
40.75,59.25,67.96666666666667,32.03333333333333
0.0,100.0,45.25,54.75
26.25,73.75,53.63333333333333,46.36666666666667
