Epoch,Batch,Loss
0,0,146.15745544433594
1,0,130.41729736328125
2,0,119.16788482666016
3,0,113.18798828125
4,0,106.64810943603516
5,0,103.36698913574219
6,0,99.31588745117188
7,0,96.69328308105469
8,0,91.90509796142578
9,0,89.55970764160156
10,0,86.9462890625
11,0,84.82085418701172
12,0,81.3609390258789
13,0,78.52435302734375
14,0,76.70651245117188
15,0,73.63163757324219
16,0,71.4505386352539
17,0,68.89729309082031
18,0,65.40248107910156
19,0,62.96330261230469
20,0,60.03761291503906
21,0,55.82415771484375
22,0,53.94781494140625
23,0,51.79774856567383
24,0,48.99910354614258
25,0,46.570579528808594
26,0,44.66745376586914
27,0,42.201507568359375
28,0,40.39027786254883
29,0,37.040287017822266
30,0,33.96649169921875
31,0,32.92845153808594
32,0,31.64801788330078
33,0,30.700037002563477
34,0,29.989286422729492
35,0,28.186145782470703
36,0,26.575138092041016
37,0,26.14837646484375
38,0,24.822467803955078
39,0,23.8776798248291
40,0,22.2609806060791
41,0,21.454004287719727
42,0,20.224300384521484
43,0,18.715824127197266
44,0,18.273223876953125
45,0,16.10849380493164
46,0,15.57572078704834
47,0,14.114466667175293
48,0,12.5712308883667
49,0,12.360610961914062
50,0,11.207853317260742
51,0,10.027233123779297
52,0,8.361124992370605
53,0,7.526424407958984
54,0,7.552130222320557
55,0,7.115783214569092
56,0,5.530298709869385
57,0,3.6118152141571045
58,0,4.191951751708984
59,0,3.041306972503662
60,0,2.4481825828552246
61,0,1.4677724838256836
62,0,0.4903678894042969
63,0,0.42665958404541016
64,0,0.18808841705322266
65,0,-1.0351824760437012
66,0,-2.0742669105529785
67,0,-2.2777047157287598
68,0,-2.4607720375061035
69,0,-3.0125341415405273
70,0,-3.7799434661865234
71,0,-4.2837910652160645
72,0,-4.491316318511963
73,0,-4.639204978942871
74,0,-4.758302688598633
75,0,-5.465624809265137
76,0,-6.057504177093506
77,0,-5.1907148361206055
78,0,-6.536924839019775
79,0,-6.832086086273193
80,0,-6.900430679321289
81,0,-6.689017295837402
82,0,-7.46868896484375
83,0,-7.761014461517334
84,0,-8.437687873840332
85,0,-8.167092323303223
86,0,-8.409711837768555
87,0,-8.369755744934082
88,0,-8.63155460357666
89,0,-9.037435531616211
90,0,-8.888967514038086
91,0,-9.403085708618164
92,0,-9.63630485534668
93,0,-9.050342559814453
94,0,-9.701513290405273
95,0,-9.88762092590332
96,0,-10.509984970092773
97,0,-10.544509887695312
98,0,-10.193392753601074
99,0,-11.001541137695312
100,0,-11.011558532714844
101,0,-10.92568588256836
102,0,-11.300119400024414
103,0,-11.029298782348633
104,0,-11.48652458190918
105,0,-10.593753814697266
106,0,-11.367313385009766
107,0,-11.357572555541992
108,0,-11.643407821655273
109,0,-11.849641799926758
110,0,-11.897056579589844
111,0,-12.504032135009766
112,0,-12.129753112792969
113,0,-12.056079864501953
114,0,-12.193864822387695
115,0,-12.54234504699707
116,0,-12.387466430664062
117,0,-12.21537971496582
118,0,-12.379301071166992
119,0,-13.012717247009277
120,0,-13.501261711120605
121,0,-13.187647819519043
122,0,-12.006332397460938
123,0,-13.169120788574219
124,0,-13.713768005371094
125,0,-13.34166431427002
126,0,-13.30318832397461
127,0,-13.229933738708496
128,0,-13.22746467590332
129,0,-13.820367813110352
130,0,-13.415079116821289
131,0,-13.885223388671875
132,0,-13.920257568359375
133,0,-13.5831298828125
134,0,-14.515925407409668
135,0,-14.860904693603516
136,0,-14.425272941589355
137,0,-14.917535781860352
138,0,-14.396265029907227
139,0,-15.109254837036133
140,0,-15.284395217895508
141,0,-15.008995056152344
142,0,-14.984195709228516
143,0,-15.054018020629883
144,0,-14.459268569946289
145,0,-15.296613693237305
146,0,-15.57144546508789
147,0,-15.56690788269043
148,0,-15.884431838989258
149,0,-15.501716613769531
150,0,-15.68895435333252
151,0,-15.758594512939453
152,0,-16.44818878173828
153,0,-15.998550415039062
154,0,-16.025592803955078
155,0,-15.715484619140625
