epoch,embedder_loss
1,511.9388298155769
2,481.8403819250682
3,450.3966299390036
4,395.1656099955241
5,364.57139696393693
6,343.9332025921534
7,321.7962798466758
8,315.10287760174464
9,292.07091352674695
10,277.21318696037173
11,268.35696374802365
12,252.286344588749
13,241.07114143977088
14,230.90721293858118
15,221.20882209898934
16,215.22208474174377
17,208.64711688813708
18,199.22039732857357
19,191.74625873565674
20,246.2625192309183
21,213.81401715959822
22,201.18797822982546
23,192.82098923032245
24,184.84993828667535
25,211.35944990127805
26,197.01367998880053
27,183.25548601907397
28,173.4012615415785
29,168.2523517154512
30,161.16477097405328
31,159.78919689239018
32,150.06851182665145
33,144.0942590955704
34,139.8583624930609
35,134.52889919091785
36,136.66412397036476
37,124.37884108225505
38,119.95587490475367
39,117.29787014401148
40,115.68609771936659
41,112.95175301271772
42,113.10860684939793
43,102.50207944900271
44,99.42497901121776
45,97.89125553766887
46,95.25008589313144
47,96.10534289905003
48,93.59535394679932
49,107.15020694429913
50,111.3851553826105
