epoch,supervisor_loss
1,0.26358214020729065
2,0.26027142703533174
3,0.25731559097766876
4,0.25513436943292617
5,0.251558943092823
6,0.2472913756966591
7,0.24456597864627838
8,0.23926953822374344
9,0.2320857360959053
10,0.22274367064237593
11,0.2092895895242691
12,0.18776619285345078
13,0.16471706032752992
14,0.14472572952508928
15,0.1309630110859871
16,0.11962652578949928
17,0.11265981420874596
18,0.10485466420650483
19,0.0988084390759468
20,0.09265952035784722
21,0.08729530051350594
22,0.08453009873628617
23,0.0830915853381157
24,0.08106548190116883
25,0.07810431495308875
26,0.07406430169939995
27,0.07224179953336715
28,0.06941906437277794
29,0.0656046710908413
30,0.06342812664806843
31,0.06157582551240921
32,0.060767209902405736
33,0.05943301655352116
34,0.05784772969782352
35,0.05564363077282906
36,0.05212701559066772
37,0.04917578548192978
38,0.047576109692454335
39,0.045624139904975894
40,0.043463433906435964
41,0.04236987978219986
42,0.041044372320175174
43,0.040025345608592035
44,0.039059390872716905
45,0.038136602565646174
46,0.037104992941021916
47,0.03632096163928509
48,0.03574952371418476
49,0.034842653572559355
50,0.03391269147396088
