epoch,supervisor_loss
1,0.24460878731712463
2,0.19882307804766156
3,0.11255858330026505
4,0.08230181747958773
5,0.0721799572781911
6,0.06482728452436508
7,0.06347534492138833
8,0.06269617585672273
9,0.06142828832306559
10,0.06027503477202521
11,0.05916408141927114
12,0.058017564257459034
13,0.05660630602921758
14,0.05495472565766365
15,0.05260875850679383
16,0.047421499850257995
17,0.035415744438530905
18,0.02002908147516705
19,0.01148424833451235
20,0.007945788610312674
21,0.006047649408823678
22,0.0049057842513161995
23,0.004168646532066521
24,0.003609695852482839
25,0.003189674384581546
26,0.0028997285398728555
27,0.0025682642719604904
28,0.0023592273734273418
29,0.002198482970781033
30,0.002055920549624023
31,0.0019537079709744643
32,0.0018299639110438645
33,0.0017535418608329361
34,0.001661499725684287
35,0.0015726971887199887
36,0.0015009859889110048
37,0.0014562961693468785
38,0.0013791642517649702
39,0.001410597061280102
40,0.0013590441307141667
41,0.0012276130774620151
42,0.0011786202704238277
43,0.0011301577776773935
44,0.001098452549841669
45,0.0010676572685100374
46,0.0010201007031673003
47,0.0009892689256322763
48,0.0009581632505629271
49,0.0009329631797126716
50,0.0009095688814312102
