epoch,discriminator_loss,generator_loss
1,1.3846404552459717,5866.26216430664
2,1.3485738635063171,5943.62998046875
3,0.9738773584365845,6271.897192382812
4,0.5065284758806229,5832.017810058594
5,0.33473755717277526,5969.542407226562
6,0.22563994228839873,6021.334545898438
7,0.15250320583581925,5708.722619628907
8,0.10611521154642105,5751.068920898438
9,0.07688178569078445,5716.247143554688
10,0.05831917524337769,5719.6041015625
11,0.04618994072079659,5837.2220703125
12,0.037887637689709666,6032.620532226562
13,0.03192215096205473,5865.72548828125
14,0.027452288195490837,5835.743017578125
15,0.023984543047845364,5861.434008789062
16,0.0212191304191947,5715.356274414063
17,0.018965783528983593,5985.6090087890625
18,0.017099704407155514,5653.114477539062
19,0.015535250585526229,5904.356628417969
20,0.014207238797098398,5657.668865966797
21,0.013065292034298182,5753.654711914062
22,0.0120851282030344,6949.60419921875
23,0.011228112410753966,6020.852734375
24,0.010470736585557461,5880.001196289062
25,0.009797844290733337,5882.545068359375
26,0.00919604990631342,6832.336608886719
27,0.00865626260638237,5975.030200195312
28,0.008170048426836728,5734.306481933594
29,0.007730160746723414,5723.013208007813
30,0.007331074075773358,5900.289965820312
31,0.00696782018058002,5674.495007324219
32,0.006636792421340942,6884.043115234375
33,0.006334033655002713,5708.719799804688
34,0.006056691240519285,6110.028979492187
35,0.005801709741353989,6096.385302734375
36,0.005566605646163225,5632.2373046875
37,0.005349235655739903,5699.906909179687
38,0.005147662898525596,5642.383081054688
39,0.004960007220506668,5575.585064697266
40,0.004784762905910611,6600.224584960937
41,0.0046207492239773275,5627.588635253906
42,0.00446715448051691,5826.692333984375
43,0.004322563158348202,5941.831945800781
44,0.00418621776625514,5651.373266601562
45,0.004057669034227729,5725.172607421875
46,0.0039364702068269255,5932.1942138671875
47,0.003821762721054256,5759.250317382813
48,0.003712979727424681,5672.1
49,0.0036095511866733434,6305.685791015625
50,0.0035111942561343312,5849.414404296875
51,0.0034175772685557603,5950.741040039063
52,0.0033284322125837207,5788.0770263671875
53,0.003243219992145896,5674.432678222656
54,0.00316195001360029,5742.60927734375
55,0.003084258409217,5796.339868164063
56,0.0030098845018073916,5643.5374755859375
57,0.0029385992558673022,5729.945776367187
58,0.0028702675364911555,5995.430969238281
59,0.0028045595390722156,5674.18330078125
60,0.00274153514765203,6603.182568359375
61,0.002680988167412579,5668.693359375
62,0.002622646139934659,5996.932788085937
63,0.002566505456343293,5704.4639892578125
64,0.002512391097843647,6114.610522460937
65,0.002460277476347983,6074.7875
66,0.002409951062873006,5805.02763671875
67,0.002361393882893026,5761.258837890625
68,0.0023144092643633484,5703.1634765625
69,0.0022689964389428496,5891.073315429688
70,0.002225034753791988,6788.56787109375
71,0.0021824586438015103,6600.750830078125
72,0.0021412088302895428,6440.002014160156
73,0.0021012503886595367,7128.22021484375
74,0.0020624548196792603,7038.176599121094
75,0.0020247212145477534,6938.446105957031
76,0.001988063473254442,6014.686987304687
77,0.0019524949020706117,5857.440478515625
78,0.0019179166294634343,6231.920568847656
79,0.0018843067809939384,5706.116455078125
80,0.0018514463095925747,5881.54833984375
81,0.0018194640171714127,5787.820031738282
82,0.0017883101128973067,5995.704443359375
83,0.0017578842584043742,5750.7332763671875
84,0.001728081575129181,6008.958837890625
85,0.0016990687930956484,5895.7154541015625
86,0.0016706818016245962,5693.413623046875
87,0.0016429140814580023,5694.21474609375
88,0.0016157146659679712,5742.831030273437
89,0.0015891578048467636,6029.735668945313
90,0.0015631941612809896,5678.48046875
91,0.001537760836072266,6124.771728515625
92,0.001512932707555592,5810.575708007813
93,0.0014886719523929059,6003.376611328125
94,0.001465059712063521,5982.623840332031
95,0.0014419548911973833,6054.953759765625
96,0.0014194734627380966,5707.697119140625
97,0.0013976109796203673,6796.554516601563
98,0.0013763131806626915,5608.777557373047
99,0.0013556267018429934,5823.139892578125
100,0.0013354913564398885,5832.928881835937
