Epoch,Batch,Loss
0,0,41.30199432373047
1,0,28.217830657958984
2,0,31.40817642211914
3,0,28.02637481689453
4,0,28.902240753173828
5,0,21.030776977539062
6,0,21.39290428161621
7,0,27.738393783569336
8,0,22.157760620117188
9,0,19.089656829833984
10,0,16.4600887298584
11,0,15.787781715393066
12,0,19.13849449157715
13,0,16.519023895263672
14,0,12.32581615447998
15,0,16.076122283935547
16,0,8.413297653198242
17,0,13.039236068725586
18,0,9.110639572143555
19,0,11.101353645324707
20,0,5.185224533081055
21,0,3.2266905307769775
22,0,4.956931114196777
23,0,3.1177022457122803
24,0,6.918095111846924
25,0,0.7436227798461914
26,0,-0.9757553339004517
27,0,0.1536424160003662
28,0,0.3020542860031128
29,0,-3.1313719749450684
30,0,-1.8268120288848877
31,0,-5.194240570068359
32,0,-0.814075231552124
33,0,-4.590610504150391
34,0,-5.5543975830078125
35,0,-7.891180515289307
36,0,-9.519733428955078
37,0,-6.712142467498779
38,0,-12.736841201782227
39,0,-9.12509822845459
40,0,-12.334482192993164
41,0,-14.558883666992188
42,0,-14.00937557220459
43,0,-14.915101051330566
44,0,-13.73268985748291
45,0,-14.329560279846191
46,0,-13.305017471313477
47,0,-14.770074844360352
48,0,-14.54452133178711
49,0,-15.966906547546387
50,0,-16.920909881591797
51,0,-18.23125648498535
52,0,-16.7691650390625
53,0,-17.721046447753906
54,0,-18.72694206237793
55,0,-21.25370216369629
56,0,-20.351627349853516
57,0,-19.725675582885742
58,0,-20.527944564819336
59,0,-21.946151733398438
60,0,-20.425029754638672
61,0,-20.175687789916992
62,0,-20.465431213378906
63,0,-20.549285888671875
64,0,-19.885208129882812
65,0,-22.642719268798828
66,0,-23.726749420166016
67,0,-23.19696044921875
68,0,-22.002988815307617
69,0,-22.469257354736328
70,0,-20.311384201049805
71,0,-22.362728118896484
72,0,-23.71263885498047
73,0,-23.92761993408203
74,0,-22.356098175048828
75,0,-24.921537399291992
76,0,-22.661474227905273
77,0,-25.147417068481445
78,0,-22.803646087646484
79,0,-23.049591064453125
80,0,-25.21989631652832
81,0,-27.35052490234375
82,0,-24.171220779418945
83,0,-25.86785888671875
84,0,-24.005441665649414
85,0,-25.187152862548828
86,0,-25.10542869567871
87,0,-24.908382415771484
88,0,-27.743183135986328
89,0,-24.007461547851562
90,0,-25.983795166015625
91,0,-21.535720825195312
92,0,-25.373462677001953
93,0,-24.961023330688477
94,0,-18.651721954345703
95,0,-26.715999603271484
96,0,-25.445491790771484
97,0,-27.278667449951172
98,0,-26.496597290039062
99,0,-24.865915298461914
100,0,-26.249990463256836
101,0,-24.352252960205078
102,0,-27.747758865356445
103,0,-25.955005645751953
104,0,-27.72714614868164
105,0,-25.40818977355957
106,0,-24.221111297607422
107,0,-27.000436782836914
108,0,-26.942081451416016
109,0,-25.13803482055664
110,0,-23.963485717773438
111,0,-26.73341941833496
112,0,-26.81447982788086
113,0,-26.488798141479492
114,0,-28.776004791259766
115,0,-25.465618133544922
116,0,-26.17080307006836
117,0,-26.132530212402344
118,0,-26.237703323364258
119,0,-27.77490234375
120,0,-26.29538345336914
121,0,-27.765398025512695
122,0,-27.781726837158203
