percentage,all_data_col_shapes,all_data_col_trends,train_data_col_shapes,train_data_col_trends,test_data_col_shapes,test_data_col_trends
10,0.7324422150882824,0.8878107807052524,0.7488193277310923,0.8784106907143108,0.7257519964507543,0.8809170497784956
20,0.8067504012841092,0.8960949453620976,0.8195714285714285,0.8992534643209031,0.7952527472527472,0.8880538957052146
30,0.8271653290529696,0.9066457181247612,0.8403194070080862,0.9149316876302946,0.8138571428571427,0.8950126693114174
40,0.8415914927768862,0.9146073928713436,0.859109657947686,0.9190446801486859,0.813677570093458,0.8993518849900135
50,0.829410914927769,0.9285342436814856,0.8526043338683787,0.9336837118894274,0.7983057784911717,0.9045369005876187
60,0.8794438202247191,0.9237547048903899,0.8846253369272237,0.9317600456678267,0.8471904761904762,0.898581867814368
70,0.8727447833065811,0.9277942955932419,0.8836866359447005,0.9335702963757918,0.8147513227513228,0.8912909440411209
80,0.9048314606741573,0.92629775257125,0.9028008048289738,0.9239425359941789,0.8523253968253969,0.9045054300068892
90,0.9151813804173355,0.9456317534480129,0.911357142857143,0.9475245278161024,0.7744047619047618,0.8665333679268121
