percentage,all_data_col_shapes,all_data_col_trends,test_data_col_shapes,test_data_col_trends
10,0.8337975639694081,0.8561454566900701,0.8162482384258051,0.8490166469748631
20,0.904379729419858,0.898582515517898,0.8809761666904524,0.8864386248595957
30,0.9195993216027134,0.9237188541496912,0.8855094339622641,0.9059076479395114
40,0.9253272443650669,0.9373925709463116,0.8757780326820735,0.9078302023486311
50,0.9373996789727128,0.9467413449728966,0.8747993579454251,0.914471695402269
60,0.954177897574124,0.9543835375983364,0.8867175801138066,0.9122812273061562
70,0.9601757883291049,0.9608324142871416,0.8687275985663082,0.9054038217322614
80,0.9753182013428886,0.9773217434610258,0.8779622177509504,0.9023081148386289
90,0.9798354735152487,0.9803503327838963,0.800595238095238,0.864837333219815
