epoch,training_loss,train_accuracy,test_loss,test_accuracy,real_test_loss,real_test_accuracy,real_complete_loss,real_complete_accuracy
0,0.1733776223428719,0.9538310412573674,0.07880630466540399,0.9701834862385321,0.16272902122445407,0.956140350877193,0.08956424261655742,0.9665492957746479
1,0.07057818616098961,0.9734774066797642,0.08367820092674524,0.9747706422018348,0.14237475525535545,0.9649122807017544,0.08237484435971114,0.9735915492957746
2,0.0494266467312067,0.9833005893909627,0.10914780197196355,0.9724770642201835,0.16627472915007702,0.9473684210526315,0.07654970343669759,0.977112676056338
3,0.03340466553142672,0.9911591355599214,0.1064446458741615,0.9747706422018348,0.13203239597232513,0.9649122807017544,0.06657426578664685,0.9806338028169014
4,0.03718247234552242,0.9852652259332023,0.169980617075495,0.9587155963302753,0.15774854349086323,0.956140350877193,0.09504062629577373,0.9735915492957746
5,0.024259504403504568,0.9901768172888016,0.18204880256473133,0.9610091743119266,0.2852093829240354,0.9298245614035088,0.16184012479753618,0.9524647887323944
6,0.018029294838121986,0.9950884086444007,0.16480281759826093,0.9701834862385321,0.18737849323919248,0.9649122807017544,0.07650875214844438,0.9823943661971831
7,0.019727290031928732,0.9931237721021611,0.17533522938650536,0.9655963302752294,0.18543293089257135,0.9649122807017544,0.09295424794469073,0.9806338028169014
8,0.019169390677746673,0.9950884086444007,0.1725929618076244,0.9701834862385321,0.20485735914213024,0.9649122807017544,0.08290819463286775,0.9806338028169014
9,0.00586090324817753,0.9980353634577603,0.22122454367454347,0.9678899082568807,0.3039655928367497,0.956140350877193,0.10752196172393026,0.9788732394366197
10,0.023030904659057123,0.9911591355599214,0.24164709593123432,0.963302752293578,0.2069757196123459,0.9649122807017544,0.08526485512367675,0.9788732394366197
11,0.0222521048637731,0.9921414538310412,0.2457954796229387,0.9701834862385321,0.30780876819029196,0.9649122807017544,0.11870458077698252,0.9823943661971831
12,0.01836115984915596,0.9960707269155207,0.20981781224235246,0.9701834862385321,0.22959551627054212,0.9649122807017544,0.09316830979087186,0.9841549295774648
13,0.0038004764223140137,0.9990176817288802,0.22770607298622408,0.9724770642201835,0.2754878581125298,0.956140350877193,0.09507386276923248,0.9859154929577465
14,0.0018682288767405378,1.0,0.2697017052022894,0.9655963302752294,0.3323663458677626,0.9649122807017544,0.1143316268347001,0.9859154929577465
15,0.0024387680738761973,0.9990176817288802,0.457657110626541,0.9678899082568807,1.1201212579558715,0.9649122807017544,0.2647640399192789,0.9859154929577465
16,0.0004796936023322153,1.0,0.6821372455658754,0.9678899082568807,1.1380878625001964,0.956140350877193,0.2819157965569134,0.9841549295774648
17,0.00024048026364705658,1.0,0.6852008604637793,0.9678899082568807,1.881780839509066,0.956140350877193,0.43114757814047955,0.9841549295774648
18,0.00012322153732944514,1.0,0.8809504169263357,0.9678899082568807,1.8945173551754184,0.956140350877193,0.4322317914435481,0.9841549295774648
19,7.029406340086884e-05,1.0,0.8874625780324552,0.9678899082568807,1.8965279209115933,0.956140350877193,0.4352525212410244,0.9841549295774648
20,4.2860166897581536e-05,1.0,1.0857730196203577,0.9678899082568807,1.8944276440182888,0.956140350877193,0.43885223450338223,0.9841549295774648
21,2.9881715036738228e-05,1.0,1.089353934332724,0.9678899082568807,1.9032884693119805,0.956140350877193,0.4407510126002396,0.9841549295774648
22,1.902268261071677e-05,1.0,1.0918840759022506,0.9678899082568807,1.9106082803825064,0.956140350877193,0.44217630585188916,0.9841549295774648
23,1.3720170719255702e-05,1.0,1.097565427291288,0.9678899082568807,1.9099955590785553,0.956140350877193,0.4454920557227833,0.9841549295774648
24,9.583840176577129e-06,1.0,1.1019815493986707,0.9678899082568807,1.9096140253754417,0.956140350877193,0.4473631879957721,0.9841549295774648
25,6.763202179104455e-06,1.0,1.1032350040539252,0.9678899082568807,1.917164549577202,0.956140350877193,0.44822779139111113,0.9841549295774648
26,4.628538681584284e-06,1.0,1.2987925683166321,0.9678899082568807,1.9166363021550679,0.956140350877193,0.5978351143972985,0.9841549295774648
27,3.3006049562344464e-06,1.0,1.4934930643590068,0.9678899082568807,1.9176696086450202,0.956140350877193,0.5997726736797916,0.9841549295774648
28,2.666630268579458e-06,1.0,1.4948731653099023,0.9678899082568807,1.9285875696385668,0.956140350877193,0.6006998595734416,0.9841549295774648
29,1.8085399680044447e-06,1.0,1.4979705488889963,0.9678899082568807,1.930089594229873,0.956140350877193,0.6024457450607604,0.9841549295774648
30,1.3816971345351953e-06,1.0,1.5000675453208068,0.9678899082568807,1.931555020661164,0.956140350877193,0.6038487141963164,0.9841549295774648
31,9.140276257861833e-07,1.0,1.501988155659707,0.9678899082568807,1.9339387446768876,0.956140350877193,0.6055202636260838,0.9841549295774648
32,6.762476731253194e-07,1.0,1.5038161368073637,0.9678899082568807,1.9411583705671451,0.956140350877193,0.606124104471992,0.9841549295774648
33,5.25399143239981e-07,1.0,1.5055119775151766,0.9678899082568807,1.9426486712797086,0.956140350877193,0.6079193254380779,0.9841549295774648
34,3.9360967398851987e-07,1.0,1.5074275737924423,0.9678899082568807,1.9452590311176776,0.956140350877193,0.6093154552893384,0.9841549295774648
35,2.8066325322459573e-07,1.0,1.5098545756993969,0.9678899082568807,1.9454472809055485,0.956140350877193,0.6103639563304952,0.9841549295774648
36,2.006173273288872e-07,1.0,1.5112783705834585,0.9678899082568807,1.945675015577639,0.956140350877193,0.6115567253850923,0.9841549295774648
37,1.508399965877466e-07,1.0,1.5134588086341245,0.9678899082568807,1.9548519568702947,0.956140350877193,0.6124814559456347,0.9841549295774648
38,1.1950098819489218e-07,1.0,1.5146846300742562,0.9678899082568807,1.9563059977679664,0.956140350877193,0.6137368895660037,0.9841549295774648
39,9.047450681260131e-08,1.0,1.5173593476261784,0.9678899082568807,1.9516512717747942,0.956140350877193,0.6157282457886182,0.9841549295774648
40,8.041009786278047e-08,1.0,1.519387919840347,0.9678899082568807,1.954563352253479,0.956140350877193,0.6171340090451979,0.9841549295774648
41,5.130711932534153e-08,1.0,1.5228451751996015,0.9678899082568807,1.9634029193349636,0.956140350877193,0.618440372923663,0.9841549295774648
42,3.818474885707316e-08,1.0,1.523571595494059,0.9678899082568807,1.9589724682538634,0.956140350877193,0.6192140956372225,0.9841549295774648
43,2.5945235213774063e-08,1.0,1.5254463401349225,0.9678899082568807,1.9614817690273956,0.956140350877193,0.6201413467239532,0.9841549295774648
44,1.885124711104019e-08,1.0,1.2973038492925077,0.9701834862385321,1.9658932851197688,0.956140350877193,0.6210163889192911,0.9841549295774648
45,1.3548714213343921e-08,1.0,1.5279197665584066,0.9678899082568807,1.9721144700721769,0.956140350877193,0.6217713611646065,0.9841549295774648
46,1.0408393351640658e-08,1.0,1.721668917872154,0.9701834862385321,1.9688316319542933,0.956140350877193,0.770215113202959,0.9841549295774648
47,7.82710576695031e-09,1.0,1.7226460285694993,0.9701834862385321,1.9709305677563893,0.956140350877193,0.7706391435530181,0.9841549295774648
48,6.665413723888946e-09,1.0,1.7255931664515685,0.9678899082568807,1.9752421440977843,0.956140350877193,0.7722352819026983,0.9841549295774648
49,5.9906981929671725e-09,1.0,1.7249416678743883,0.9678899082568807,1.9767059021175937,0.956140350877193,0.7720488966831803,0.9841549295774648
