epoch,training_loss,train_accuracy,test_loss,test_accuracy,real_test_loss,real_test_accuracy,real_complete_loss,real_complete_accuracy
20,0.003228164724278518,0.9985714285714286,0.016348297888374268,0.9866666666666667,0.07133472115553256,0.9166666666666666,0.05155086559199354,0.9382022471910112
21,0.0026583081263938115,1.0,0.015198590173910512,0.9866666666666667,0.07298140086519804,0.9166666666666666,0.04814377919108389,0.9438202247191011
22,0.0015554762888109204,1.0,0.015352672293129217,0.9866666666666667,0.07749436318732074,0.9166666666666666,0.045981255508606635,0.949438202247191
23,0.001783839507790747,1.0,0.015716885092547272,0.9866666666666667,0.06950687639133928,0.9444444444444444,0.040564317829771275,0.9550561797752809
24,0.0014909505527534099,1.0,0.01818557032898146,0.9866666666666667,0.07519974846198035,0.9166666666666666,0.04276364132573271,0.949438202247191
25,0.00354383782171096,1.0,0.016523693322415055,0.9866666666666667,0.09782315003232928,0.8611111111111112,0.04977879523443682,0.9382022471910112
26,0.0030247662729123346,1.0,0.014676413299775959,0.9833333333333333,0.07151395031178254,0.9166666666666666,0.04556608608883957,0.9438202247191011
27,0.0023589409288583088,1.0,0.01254439152417414,0.99,0.08376416848639362,0.8611111111111112,0.05931001283510356,0.9213483146067416
28,0.0021958340345463513,0.9985714285714286,0.014903725626814671,0.98,0.08906929993908205,0.8888888888888888,0.048574280879783854,0.9382022471910112
29,0.0015052586032287048,1.0,0.014914996168259526,0.9833333333333333,0.07243192273932032,0.9166666666666666,0.04654506726006383,0.9438202247191011
30,0.0007078570450227874,1.0,0.013506564131210819,0.9833333333333333,0.07983296478444875,0.9166666666666666,0.0521680652368227,0.9325842696629213
31,0.0007728256031190637,1.0,0.01354335091337589,0.9833333333333333,0.07188363666235394,0.9166666666666666,0.0420208966360076,0.9438202247191011
32,0.0007471327407412381,1.0,0.015958616076777617,0.9833333333333333,0.0822322720620529,0.9166666666666666,0.05386138599484245,0.9325842696629213
33,0.0008710120982867815,1.0,0.01499033055564496,0.9833333333333333,0.07905334523153822,0.9166666666666666,0.0461075349720876,0.9438202247191011
34,0.0006753953189453706,1.0,0.014318407005636496,0.9833333333333333,0.07241490824475881,0.9166666666666666,0.04950195661476729,0.9438202247191011
35,0.0016110526337927565,1.0,0.012726676353991025,0.9866666666666667,0.10202704445045027,0.8888888888888888,0.060281487009482014,0.9325842696629213
36,0.0010015559222182446,1.0,0.02162372512599783,0.9866666666666667,0.08561926346414515,0.8888888888888888,0.0666575393187578,0.9269662921348315
37,0.0021364481598511375,1.0,0.017057065024129466,0.9866666666666667,0.09370995398169019,0.8611111111111112,0.06881032083006329,0.9157303370786517
38,0.004991343670546777,0.9957142857142857,0.015205897710687472,0.9833333333333333,0.04375812245760042,0.9444444444444444,0.042479834097321145,0.9550561797752809
39,0.0039955323763751945,0.9985714285714286,0.014809871063989703,0.9866666666666667,0.07628338894341545,0.9166666666666666,0.05302908282215724,0.9325842696629213
40,0.0017579711120171736,1.0,0.014660115638010514,0.9833333333333333,0.0629617736071345,0.9444444444444444,0.04364250065231154,0.949438202247191
41,0.0007226491405064702,1.0,0.013524214629991321,0.9866666666666667,0.07747537239983002,0.9166666666666666,0.0548736699660791,0.9213483146067416
42,0.0008223086490497166,1.0,0.014584636335190831,0.9833333333333333,0.06224187865594407,0.9444444444444444,0.046647419873986413,0.9438202247191011
43,0.00050242215236137,1.0,0.014712364977961745,0.9866666666666667,0.0765342919856064,0.9166666666666666,0.05575619917350665,0.9213483146067416
44,0.00035678511714650087,1.0,0.015539307771859398,0.9833333333333333,0.07502265258345789,0.9166666666666666,0.05181357353831309,0.9269662921348315
45,0.0007683192524301928,1.0,0.01397961258900447,0.9833333333333333,0.0733208194803107,0.9166666666666666,0.05240235246217307,0.9269662921348315
46,0.00032040776883710415,1.0,0.013886567760611115,0.9833333333333333,0.06943141493638905,0.9166666666666666,0.04987698872101899,0.9382022471910112
47,0.0002886424522521582,1.0,0.01609329595776785,0.9833333333333333,0.0786505160592949,0.9166666666666666,0.058373741214034436,0.9269662921348315
48,0.00041875198521105567,1.0,0.01499145125396827,0.9833333333333333,0.06504322029710845,0.9166666666666666,0.05128724610831035,0.9269662921348315
49,0.0005218915241922113,1.0,0.01460972650290993,0.9866666666666667,0.0869028537952406,0.9166666666666666,0.06347699272715401,0.9157303370786517
