percentage,all_data_col_shapes,all_data_col_trends,train_data_col_shapes,train_data_col_trends,test_data_col_shapes,test_data_col_trends
10,0.9048976132433811,0.9108945521323358,0.8903041474654378,0.9219556589214394,0.9016940828774446,0.9088630285055425
20,0.8919337830942798,0.9310136232409925,0.8759440479588925,0.9426171403723036,0.8893378607809848,0.9262683548934664
30,0.9083957140427463,0.9442947648317151,0.9107400379506642,0.9512665038108099,0.8994099765542888,0.9365707799966658
40,0.8932553432734284,0.9385798957937341,0.8948573255648714,0.9448174220478709,0.8830107526881719,0.9291905692868199
50,0.9206652304552413,0.9520547061403508,0.9150536119945478,0.95098943036891,0.9118732314657612,0.9470306993155408
60,0.9177684676002041,0.9550526398793951,0.9127250969633905,0.9551281876970978,0.9085087719298244,0.9477099343557713
70,0.9140851522195137,0.9548075615462819,0.9085652455827525,0.9565065577617552,0.9018334276551595,0.9408891816006544
80,0.9192492204773512,0.956968729223662,0.9170499822757886,0.9580789383472544,0.8957441992076967,0.9386779022637192
90,0.9133497930721697,0.958419206706566,0.9132288306451612,0.9583187544537053,0.8603486134691567,0.9388869966168669
